Org,Label,Clade1,Clade2,Clade5
HUMAN,1111_HUMAN,11_Metazoa,Bilateria,Mammal
ANOCA,1112_ANOCA,11_Metazoa,Bilateria,Bird
CHICK,1113_CHICK,11_Metazoa,Bilateria,Reptile
XENLA,1114_XENLA,11_Metazoa,Bilateria,Amphibia
DANRE,1115_DANRE,11_Metazoa,Bilateria,Neopterygii
CALMI,1116_CALMI,11_Metazoa,Bilateria,Condrichtyes
LATCH,1117_LATCH,11_Metazoa,Bilateria,Sarcioterygii
PETMA,1118_PETMA,11_Metazoa,Bilateria,Agnatha
CIOIN,1119_CIOIN,11_Metazoa,Bilateria,Tunicate
BRAFL,1120_BRAFL,11_Metazoa,Bilateria,Cephalochordata
SACKO,1121_SACKO,11_Metazoa,Bilateria,Hemichordata
STRPU,1122_STRPU,11_Metazoa,Bilateria,Echinodermata
LOTGI,1211_LOTGI,11_Metazoa,Bilateria,Mollusca
APLCA,1212_APLCA,11_Metazoa,Bilateria,Mollusca
9CRUS,1213_9CRUS,11_Metazoa,Bilateria,Brachiopoda
LIMPO,1214_LIMPO,11_Metazoa,Bilateria,Chelicerata
DROME,1215_DROME,11_Metazoa,Bilateria,Insecta
CAPTE,1216_CAPTE,11_Metazoa,Bilateria,Annelida
HELRO,1217_HELRO,11_Metazoa,Bilateria,Annelida
CAEEL,1218_CAEEL,11_Metazoa,Bilateria,Nematoda
SCHMA,1219_SCHMA,11_Metazoa,Bilateria,Platelmynthia
ACRMI,1311_ACRMI,11_Metazoa,Early branchin metazoa,Anthozoa
ACRDI,1312_ACRDI,11_Metazoa,Early branchin metazoa,Anthozoa
ANTEL,1314_ANTEL,11_Metazoa,Early branchin metazoa,Anthozoa
NEMVE,1313_NEMVE,11_Metazoa,Early branching Metazoa,Medusozoa
HYDVU,1315_HYDVU,11_Metazoa,Early branchin metazoa,Hydrozoa
TRIAD,1331_TRIAD,11_Metazoa,Early branchin metazoa,Placozoa
MNELE,1341_MNELE,11_Metazoa,Early branchin metazoa,Ctenophora
OSCCA,1351_OSCCA,11_Metazoa,Early branchin metazoa,Porifera
AMPQE,1352_AMPQE,11_Metazoa,Early branchin metazoa,Porifera
MONBE,1411_MONBE,11_UniMulti,Choanoflagellata,Choanoflagellata
SALR5,1412_SALR5,11_UniMulti,Choanoflagellata,Choanoflagellata
CAPO3,1421_CAPO3,11_UniMulti,Filasterea,Filasterea
MINVI,1422_MINVI,11_UniMulti,Filasterea,Filasterea
CREFR,1431_CREFR,11_UniMulti,Ichthyosporea,Ichthyosporea
AMOPA,1432_AMOPA,11_UniMulti,Ichthyosporea,Ichthyosporea
9EUKA19,1433_9EUKA19,11_UniMulti,Ichthyosporea,Ichthyosporea
