Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	AlphaFoldDB	Taxonomic lineage	Organism (ID)
B2ZXD5	reviewed	GPHR_CRIGR	Golgi pH regulator (Protein GPR89)	GPR89 GPHR	Cricetulus griseus (Chinese hamster) (Cricetulus barabensis griseus)	455	B2ZXD5;	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Sarcopterygii (superclass), Dipnotetrapodomorpha (clade), Tetrapoda (clade), Amniota (clade), Mammalia (class), Theria (clade), Eutheria (clade), Boreoeutheria (clade), Euarchontoglires (superorder), Glires (clade), Rodentia (order), Myomorpha (suborder), Muroidea (clade), Cricetidae (family), Cricetinae (subfamily), Cricetulus (genus)	10029
B7ZAQ6	reviewed	GPHRA_HUMAN	Golgi pH regulator A (Protein GPR89A) (Putative MAPK-activating protein PM01) (Putative NF-kappa-B-activating protein 90)	GPR89A GPHRA GPR89 SH120 CGI-13 UNQ192/PRO218	Homo sapiens (Human)	455	B7ZAQ6;	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Sarcopterygii (superclass), Dipnotetrapodomorpha (clade), Tetrapoda (clade), Amniota (clade), Mammalia (class), Theria (clade), Eutheria (clade), Boreoeutheria (clade), Euarchontoglires (superorder), Primates (order), Haplorrhini (suborder), Simiiformes (infraorder), Catarrhini (parvorder), Hominoidea (superfamily), Hominidae (family), Homininae (subfamily), Homo (genus)	9606
P0CG08	reviewed	GPHRB_HUMAN	Golgi pH regulator B (Protein GPR89B)	GPR89B GPHR GPR89 GPR89C SH120 HSPC201	Homo sapiens (Human)	455	P0CG08;	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Sarcopterygii (superclass), Dipnotetrapodomorpha (clade), Tetrapoda (clade), Amniota (clade), Mammalia (class), Theria (clade), Eutheria (clade), Boreoeutheria (clade), Euarchontoglires (superorder), Primates (order), Haplorrhini (suborder), Simiiformes (infraorder), Catarrhini (parvorder), Hominoidea (superfamily), Hominidae (family), Homininae (subfamily), Homo (genus)	9606
Q0WQG8	reviewed	GTG2_ARATH	GPCR-type G protein 2	GTG2 At4g27630 T29A15.120	Arabidopsis thaliana (Mouse-ear cress)	467	Q0WQG8;	cellular organisms (no rank), Eukaryota (superkingdom), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), eudicotyledons (clade), Gunneridae (clade), Pentapetalae (clade), rosids (clade), malvids (clade), Brassicales (order), Brassicaceae (family), Camelineae (tribe), Arabidopsis (genus)	3702
Q7X7S8	reviewed	COLD1_ORYSJ	GPCR-type G protein COLD1 (Protein CHILLING TOLERANCE DIVERGENCE 1)	COLD1 Os04g0600800 LOC_Os04g51180 OsJ_16035 OSJNBa0083N12.15	Oryza sativa subsp. japonica (Rice)	468	Q7X7S8;	cellular organisms (no rank), Eukaryota (superkingdom), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), Liliopsida (clade), Petrosaviidae (subclass), commelinids (clade), Poales (order), Poaceae (family), BOP clade (clade), Oryzoideae (subfamily), Oryzeae (tribe), Oryzinae (subtribe), Oryza (genus), Oryza sativa (species)	39947
Q8BS95	reviewed	GPHR_MOUSE	Golgi pH regulator (Protein GPR89)	Gpr89 Gphr Gpr89a	Mus musculus (Mouse)	455	Q8BS95;	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Sarcopterygii (superclass), Dipnotetrapodomorpha (clade), Tetrapoda (clade), Amniota (clade), Mammalia (class), Theria (clade), Eutheria (clade), Boreoeutheria (clade), Euarchontoglires (superorder), Glires (clade), Rodentia (order), Myomorpha (suborder), Muroidea (clade), Muridae (family), Murinae (subfamily), Mus (genus), Mus (subgenus)	10090
Q9XIP7	reviewed	GTG1_ARATH	GPCR-type G protein 1	GTG1 At1g64990 F13O11.29	Arabidopsis thaliana (Mouse-ear cress)	468	Q9XIP7;	cellular organisms (no rank), Eukaryota (superkingdom), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), eudicotyledons (clade), Gunneridae (clade), Pentapetalae (clade), rosids (clade), malvids (clade), Brassicales (order), Brassicaceae (family), Camelineae (tribe), Arabidopsis (genus)	3702
A2XX57	reviewed	COLD1_ORYSI	GPCR-type G protein COLD1 (Protein CHILLING TOLERANCE DIVERGENCE 1)	COLD1 B0403H10-OSIGBa0105A11.8 OsI_17258	Oryza sativa subsp. indica (Rice)	468	A2XX57;	cellular organisms (no rank), Eukaryota (superkingdom), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), Liliopsida (clade), Petrosaviidae (subclass), commelinids (clade), Poales (order), Poaceae (family), BOP clade (clade), Oryzoideae (subfamily), Oryzeae (tribe), Oryzinae (subtribe), Oryza (genus), Oryza sativa (species)	39946
Q54QM5	reviewed	GPHR_DICDI	Golgi pH regulator homolog (Protein GPR89)	gpr89 gphr DDB_G0283855	Dictyostelium discoideum (Social amoeba)	547	Q54QM5;	cellular organisms (no rank), Eukaryota (superkingdom), Amoebozoa (clade), Evosea (phylum), Eumycetozoa (class), Dictyostelia (clade), Dictyosteliales (order), Dictyosteliaceae (family), Dictyostelium (genus)	44689
Q5BIM9	reviewed	GPHR_BOVIN	Golgi pH regulator (Protein GPR89)	GPR89 GPHR GPR89A	Bos taurus (Bovine)	455	Q5BIM9;	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Sarcopterygii (superclass), Dipnotetrapodomorpha (clade), Tetrapoda (clade), Amniota (clade), Mammalia (class), Theria (clade), Eutheria (clade), Boreoeutheria (clade), Laurasiatheria (superorder), Artiodactyla (order), Ruminantia (suborder), Pecora (infraorder), Bovidae (family), Bovinae (subfamily), Bos (genus)	9913
Q5F448	reviewed	GPHR_CHICK	Golgi pH regulator (Protein GPR89)	GPR89 GPHR RCJMB04_3g11	Gallus gallus (Chicken)	455	Q5F448;	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Sarcopterygii (superclass), Dipnotetrapodomorpha (clade), Tetrapoda (clade), Amniota (clade), Sauropsida (clade), Sauria (clade), Archelosauria (clade), Archosauria (clade), Dinosauria (clade), Saurischia (clade), Theropoda (clade), Coelurosauria (clade), Aves (class), Neognathae (infraclass), Galloanserae (superorder), Galliformes (order), Phasianidae (family), Phasianinae (subfamily), Gallus (genus)	9031
A0A084VEV9	unreviewed	A0A084VEV9_ANOSI	Homeobox domain-containing protein	ZHAS_00003653	Anopheles sinensis (Mosquito)	869	A0A084VEV9;	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Protostomia (clade), Ecdysozoa (clade), Panarthropoda (clade), Arthropoda (phylum), Mandibulata (clade), Pancrustacea (clade), Hexapoda (subphylum), Insecta (class), Dicondylia (clade), Pterygota (subclass), Neoptera (infraclass), Endopterygota (cohort), Diptera (order), Nematocera (suborder), Culicomorpha (infraorder), Culicoidea (superfamily), Culicidae (family), Anophelinae (subfamily), Anopheles (genus), Anopheles (subgenus), Laticorn (section), Myzorhynchus (series), hyrcanus group (no rank)	74873
A0A085MKQ1	unreviewed	A0A085MKQ1_9BILA	Oxysterol-binding protein	M513_01467	Trichuris suis (pig whipworm)	1314		cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Protostomia (clade), Ecdysozoa (clade), Nematoda (phylum), Enoplea (class), Dorylaimia (subclass), Trichinellida (order), Trichuridae (family), Trichuris (genus)	68888
A0A085N7N2	unreviewed	A0A085N7N2_9BILA	Oxysterol-binding protein	M514_01467	Trichuris suis (pig whipworm)	1185	A0A085N7N2;	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Protostomia (clade), Ecdysozoa (clade), Nematoda (phylum), Enoplea (class), Dorylaimia (subclass), Trichinellida (order), Trichuridae (family), Trichuris (genus)	68888
A0A0B7BT34	unreviewed	A0A0B7BT34_9EUPU	Abscisic acid G-protein coupled receptor-like domain-containing protein	ORF210201 ORF210207	Arion vulgaris	459	A0A0B7BT34;	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Protostomia (clade), Spiralia (clade), Lophotrochozoa (clade), Mollusca (phylum), Gastropoda (class), Heterobranchia (subclass), Euthyneura (clade), Panpulmonata (clade), Eupulmonata (superorder), Stylommatophora (order), Helicina (clade), Arionoidea (superfamily), Arionidae (family), Arion (genus)	1028688
A0A0D6LX54	unreviewed	A0A0D6LX54_9BILA	Zinc finger, C3HC4 type	ANCCEY_05121	Ancylostoma ceylanicum	847	A0A0D6LX54;	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Protostomia (clade), Ecdysozoa (clade), Nematoda (phylum), Chromadorea (class), Rhabditida (order), Rhabditina (suborder), Rhabditomorpha (infraorder), Strongyloidea (superfamily), Ancylostomatidae (family), Ancylostomatinae (subfamily), Ancylostoma (genus)	53326
