"Entry.Name","Entry","Organism","Org","Scientific_Name","Gene","Protein.names","gpcr","taxa","Accession","Rename","Org_Uq","RL_Entry_Name"
"B2R9L7_HUMAN","B2R9L7","Homo sapiens (Human)","HUMAN","Homo sapiens","B2R9L7","Oxytocin receptor","PF00001",2759,"PF00001","Rho","HUMAN","B2R9L7_HUMAN"
"Q5VZX0_HUMAN","Q5VZX0","Homo sapiens (Human)","HUMAN","Homo sapiens","Q5VZX0","Lysophosphatidic acid receptor 1 (Lysophosphatidic acid receptor Edg-2)","PF00001",2759,"PF00001","Rho","HUMAN","Q5VZX0_HUMAN"
"Q6AWQ4_DROME","Q6AWQ4","Drosophila melanogaster (Fruit fly)","DROME","Drosophila melanogaster","Q6AWQ4","5-hydroxytryptamine (Serotonin) receptor 2A, isoform D (RH04788p)","PF00001",2759,"PF00001","Rho","DROME","Q6AWQ4_DROME"
"Q9VM96_DROME","Q9VM96","Drosophila melanogaster (Fruit fly)","DROME","Drosophila melanogaster","Q9VM96","Adipokinetic hormone receptor, isoform A (Adipokinetic hormone receptor, isoform B) (Adipokinetic hormone receptor, isoform D) (GH19447p)","PF00001",2759,"PF00001","Rho","DROME","Q9VM96_DROME"
"Q9VN38_DROME","Q9VN38","Drosophila melanogaster (Fruit fly)","DROME","Drosophila melanogaster","Q9VN38","5-hydroxytryptamine (Serotonin) receptor 2A, isoform A","PF00001",2759,"PF00001","Rho","DROME","Q9VN38_DROME"
"S5TLS4_HUMAN","S5TLS4","Homo sapiens (Human)","HUMAN","Homo sapiens","S5TLS4","Cannabinoid receptor 1","PF00001",2759,"PF00001","Rho","HUMAN","S5TLS4_HUMAN"
"X5D2B0_HUMAN","X5D2B0","Homo sapiens (Human)","HUMAN","Homo sapiens","X5D2B0","Vasopressin V1a receptor","PF00001",2759,"PF00001","Rho","HUMAN","X5D2B0_HUMAN"
"X5D7I5_HUMAN","X5D7I5","Homo sapiens (Human)","HUMAN","Homo sapiens","X5D7I5","5-hydroxytryptamine receptor 1B (5-HT-1B) (5-HT1B) (Serotonin receptor 1B)","PF00001",2759,"PF00001","Rho","HUMAN","X5D7I5_HUMAN"
"X5DNB4_HUMAN","X5DNB4","Homo sapiens (Human)","HUMAN","Homo sapiens","X5DNB4","Adenosine receptor A2","PF00001",2759,"PF00001","Rho","HUMAN","X5DNB4_HUMAN"
"X5DQM5_HUMAN","X5DQM5","Homo sapiens (Human)","HUMAN","Homo sapiens","X5DQM5","Beta-2 adrenergic receptor (Beta-2 adrenoceptor) (Beta-2 adrenoreceptor)","PF00001",2759,"PF00001","Rho","HUMAN","X5DQM5_HUMAN"
